Construct;PercentHead;Time
GFP;85,7779;4
GFP;93,038;4
GFP;94,085;4
GFP;95,1181;4
GFP;90,8694;4
GFP;95,6267;4
GFP;98,829;4
GFP;98,0564;4
GFP;98,6063;4
GFP;99,3213;4
GFP;94,1124;4
GFP;92,0553;4
GFP;92,0553;4
GFP;94,1547;4
GFP;98,0649;4
GFP;99,3046;4
GFP;96,3152;4
GFP;95,0954;4
GFP;98,4348;4
GFP;98,5529;4
GFP;98,4044;4
GFP;99,6404;4
GFP;98,555;4
GFP;95,21;4
GFP;93,8207;4
GFP;95,9886;4
GFP;97,511;4
GFP;94,192;4
GFP;92,6783;4
GFP;89,1104;4
GFP;98,944;4
GFP;94,9626;4
GFP;97,2305;4
GFP;97,6384;4
GFP;97,205;4
GFP;99,8993;4
GFP;98,7911;4
GFP;95,4593;4
GFP;95,7035;4
