Construct;Time;Autofluorescence;Experiment
CP106;5;0,869815426;2
CP106;5;0,867219654;2
CP106;5;0,766070292;2
CP106;5;0,843016862;2
CP106;5;0,889418778;2
CP106;5;0,86950015;2
CP106;5;0,733836103;2
CP106;5;0,565852862;2
CP106;5;0,860245515;2
CP106;5;0,752400235;2
CP106;5;0,794798896;2
CP106;5;1,119927863;2
CP106;5;0,938145181;2
CP106;5;0,829271838;2
CP106;5;0,953125944;2
CP106;5;0,85230942;2
CP106;5;0,829402651;2
CP106;5;0,815961034;2
CP106;5;0,837917627;2
CP106;5;0,800453515;2
CP106;5;0,763254055;2
CP106;5;0,902391076;2
CP106;5;0,909483868;2
CP106;5;0,794986015;2
CP106;5;0,838831729;2
CP106;5;0,857762501;2
CP106;5;0,782663614;2
CP105;6;0,940350877;1
CP105;6;0,763654419;1
CP105;6;0,866372392;1
CP105;6;0,789011828;1
CP105;6;0,877462569;1
CP105;6;0,835760518;1
CP105;6;0,789793165;1
CP105;6;0,737652023;1
CP105;6;0,774202899;1
CP105;6;0,835854981;1
CP105;6;0,788906414;1
CP105;6;0,84125898;1
CP105;6;0,856269113;1
CP105;6;0,865130464;1
CP105;6;0,907763259;1
CP105;6;0,883568383;1
CP105;6;0,979923518;1
CP105;6;0,920181406;1
CP105;6;0,864358323;1
CP105;6;0,844771723;1
CP105;6;0,776884123;1
CP105;6;0,765467626;1
CP105;6;0,757326007;1
CP105;6;0,764402174;1
CP105;6;0,941641566;1
CP105;6;0,929490767;1
CP105;6;0,815720809;1
CP105;6;0,873844918;1
CP105;6;0,891741846;1
CP105;6;1,009222133;1
CP105;6;0,847991071;1
CP105;6;0,760728842;1
CP105;6;0,857263514;1
CP105;6;0,8;1
CP105;6;0,782116582;1
CP105;6;0,752221376;1
CP105;6;0,86641791;1
CP105;6;0,795850067;1
CP105;6;0,726897152;1
CP105;6;0,761419843;1
CP105;6;0,73159713;1
CP105;6;0,863211951;1
CP105;6;0,868965517;1
CP105;6;0,875460877;1
CP105;6;0,903811899;1
CP105;6;0,773355818;1
